                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6122,                 2.6102,                 1.6828,                0.60536,                0.50988,                0.53611,                 0.2578,                 1.5482,                 7.5567,                 1.6629,             0.00066481,             0.00066481,             0.00066481
                      2,                 1.7131,                 2.0794,                 1.7233,                0.61168,                0.51976,                0.55229,                0.23637,                  1.706,                 5.8271,                 1.8093,              0.0013051,              0.0013051,              0.0013051
                      3,                 1.7372,                 1.9125,                 1.7754,                0.65048,                0.52229,                0.57139,                0.26691,                  1.656,                   2.69,                 1.7468,               0.001919,               0.001919,               0.001919
                      4,                 1.7111,                 1.7781,                 1.7338,                 0.7216,                0.53755,                0.61699,                0.31023,                 1.4551,                 4.9827,                 1.5932,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6709,                 1.7036,                 1.7029,                0.77045,                0.57312,                 0.6727,                0.32238,                 1.5146,                 5.5862,                 1.6551,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5967,                 1.5943,                 1.6451,                0.68062,                0.54941,                0.59956,                0.31996,                 1.5096,                 2.1417,                 1.6482,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.5884,                  1.544,                 1.6402,                0.76354,                0.61067,                0.68975,                0.37039,                 1.4639,                 2.1121,                  1.606,               0.001802,               0.001802,               0.001802
                      8,                 1.5395,                 1.5019,                  1.587,                0.77716,                0.59486,                0.70056,                0.38665,                  1.348,                 1.9506,                 1.4897,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5069,                 1.4164,                 1.5709,                0.73764,                 0.6502,                0.74732,                 0.3942,                 1.4492,                 2.3349,                  1.547,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4669,                 1.3434,                 1.5338,                0.83706,                0.60915,                0.74357,                0.40596,                 1.3516,                 2.3061,                 1.4882,              0.0016832,              0.0016832,              0.0016832
                     11,                  1.443,                 1.3192,                 1.5157,                 0.7295,                0.69822,                0.77629,                0.41619,                 1.3841,                 1.5604,                 1.5006,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4167,                 1.2752,                 1.4969,                0.83369,                0.67391,                0.79325,                0.44881,                 1.3022,                 1.6259,                 1.4631,               0.001604,               0.001604,               0.001604
                     13,                 1.4297,                 1.2616,                 1.4942,                0.82395,                0.70356,                0.79202,                 0.4305,                  1.377,                 1.5553,                 1.5132,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.399,                 1.2476,                 1.4774,                0.84523,                0.67984,                0.81092,                0.45383,                 1.2804,                 2.2892,                 1.4359,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3591,                 1.1836,                 1.4537,                0.82074,                0.71146,                0.80686,                0.46613,                 1.2509,                 1.5202,                 1.4056,              0.0014852,              0.0014852,              0.0014852
